id,email,device_mac_id,ip,location,time_to_attempt,rejection_reason,is_suspicious,scenario,email_attempt_last_5m,_original_row
3000,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-31 23:15:33+00:00,invalid_password,0,normal_user_error,1,0
2988,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-31 16:21:28+00:00,invalid_password,0,normal_user_error,1,12
2982,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-31 14:21:57+00:00,password_typo,0,normal_user_error,1,18
2976,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Dhaka, BD",2026-07-31 12:06:19+00:00,invalid_password,0,normal_user_error,1,24
2968,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-31 08:46:40+00:00,password_typo,0,normal_user_error,1,32
2963,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-31 07:47:49+00:00,password_typo,0,normal_user_error,1,37
2951,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-31 03:23:26+00:00,expired_session,0,normal_user_error,1,49
2945,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-31 00:43:03+00:00,expired_session,0,normal_user_error,1,55
2943,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-30 23:58:52+00:00,password_typo,0,normal_user_error,2,57
2938,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Singapore, SG",2026-07-30 20:53:08+00:00,expired_session,0,normal_user_error,1,62
2917,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-30 15:03:11+00:00,password_typo,0,normal_user_error,1,83
2910,user4@example.com,02:02:85:59:D0:36,192.0.2.129,"Dubai, AE",2026-07-30 10:27:52+00:00,invalid_password,0,normal_user_error,1,90
2905,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-30 08:29:02+00:00,invalid_password,0,normal_user_error,1,95
2903,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-30 08:10:43+00:00,invalid_password,0,normal_user_error,1,97
2888,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-30 02:33:23+00:00,password_typo,0,normal_user_error,9,112
2883,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-29 23:33:38+00:00,password_typo,0,normal_user_error,14,117
2876,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-29 22:48:38+00:00,password_typo,0,normal_user_error,1,124
2870,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-29 21:10:46+00:00,invalid_password,0,normal_user_error,1,130
2851,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-29 17:51:40+00:00,otp_failed,0,normal_user_error,1,149
2849,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-29 17:14:30+00:00,password_typo,0,normal_user_error,1,151
2844,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-29 14:56:04+00:00,invalid_password,0,normal_user_error,1,156
2842,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-29 14:03:48+00:00,invalid_password,0,normal_user_error,1,158
2807,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-29 07:44:48+00:00,expired_session,0,normal_user_error,1,193
2750,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-29 02:29:22+00:00,password_typo,0,normal_user_error,1,250
2748,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-29 01:46:53+00:00,password_typo,0,normal_user_error,1,252
2707,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-28 12:15:19+00:00,invalid_password,0,normal_user_error,1,293
2676,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-28 02:52:49+00:00,expired_session,0,normal_user_error,2,324
2654,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-27 20:45:13+00:00,password_typo,0,normal_user_error,1,346
2650,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-27 19:13:08+00:00,invalid_password,0,normal_user_error,1,350
2616,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-27 10:18:05+00:00,password_typo,0,normal_user_error,1,384
2603,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-27 06:56:45+00:00,expired_session,0,normal_user_error,1,397
2598,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-27 04:51:56+00:00,expired_session,0,normal_user_error,1,402
2542,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-26 16:48:48+00:00,password_typo,0,normal_user_error,1,458
2540,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-26 15:17:39+00:00,invalid_password,0,normal_user_error,1,460
